# data_id,k_KNN,IOU(%)
2,1,7.67
4,1,10.49
6,1,13.92
8,1,18.70
10,1,25.24
12,1,31.84
14,1,37.76
16,1,44.26
18,1,48.99
20,1,52.54
22,1,55.58
24,1,57.59
26,1,59.17
28,1,60.46
30,1,61.47
32,1,62.33
34,1,63.11
36,1,64.01
38,1,64.41
40,1,65.07
42,1,65.65
44,1,66.05
46,1,66.43
48,1,66.69
50,1,67.12
52,1,67.49
54,1,67.73
56,1,67.78
58,1,68.01
60,1,68.18
62,1,68.46
64,1,68.72
66,1,68.84
68,1,68.80
70,1,69.01
72,1,69.13
74,1,69.23
76,1,69.29
78,1,69.29
80,1,69.41
82,1,69.47
84,1,69.52
86,1,69.61
88,1,69.73
90,1,69.73
92,1,69.73
94,1,69.74
96,1,69.80
98,1,69.78
100,1,69.79
