# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
4,5768.72,10.53,0.55,13820.87,1622.05
8,11537.92,18.77,0.75,22436.77,1673.33
12,17307.18,35.06,0.95,29546.04,1700.54
16,23076.42,45.77,1.07,35695.36,1737.23
20,28845.74,52.56,1.20,41143.60,1777.88
24,34614.86,57.94,1.32,46168.44,1815.12
28,40384.04,61.39,1.42,50822.69,1854.43
32,46153.34,63.15,1.54,55144.25,1896.01
36,51922.52,64.87,1.64,59216.01,1937.14
40,57691.86,65.78,1.73,63086.20,1976.74
44,63461.02,66.84,1.83,66794.20,2004.84
48,69230.24,67.76,1.92,70372.69,2045.01
52,74999.44,68.70,2.00,73774.64,2081.06
56,80768.66,69.28,2.08,77043.15,2119.22
60,86538.08,70.30,2.18,80203.22,2155.29
64,92307.16,70.61,2.26,83266.20,2191.96
68,98076.34,70.95,2.33,86221.15,2228.21
72,103845.64,71.41,2.41,89099.35,2274.40
76,109614.82,71.53,2.48,91891.19,2307.27
80,115384.20,71.70,2.56,94590.79,2345.02
84,121153.26,71.76,2.66,97250.69,2382.02
88,126922.50,72.02,2.74,99846.36,2426.40
92,132691.76,71.86,2.79,102362.96,2457.58
96,138460.96,71.97,2.85,104849.21,2466.81
100,144230.66,72.00,2.92,107287.31,2399.80
