# data_id,time(s),memory(MB)
4,0.785267,0.175561
8,1.1382,0.257953
12,1.36781,0.369683
16,1.6346,0.512213
20,1.84893,0.656085
24,2.12582,0.818932
28,2.31446,1.00156
32,2.47305,1.19529
36,2.63928,1.37669
40,2.82515,1.59534
44,2.93365,1.85524
48,3.10214,2.11837
52,3.28765,2.41058
56,3.49512,2.71823
60,3.65358,3.05173
64,3.95041,3.36706
68,4.0673,3.68025
72,4.12662,3.9945
76,4.2731,4.29498
80,4.41226,4.64398
84,4.37833,5.02943
88,4.49214,5.46219
92,4.68743,5.87233
96,4.75207,6.28546
100,5.18613,6.70948
